Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.1-192.168.56.101-54017-21-6,192.168.56.1,54017,192.168.56.101,21,6,14/01/2014 07:37:24 PM,2372771,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,67.85315565640342,8.00751526379916,131820.6111111111,547239.8131096198,2324300.0,8.0,2372007.0,263556.3333333334,786907.0378986963,2361968.0,8.0,2372728.0,296591.0,819416.5787503065,2324300.0,182.0,0,0,0,0,332,296,4.214481717789032,3.793033546010129,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,33653,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54018-21-6,192.168.56.1,54018,192.168.56.101,21,6,14/01/2014 07:37:27 PM,2452174,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,65.65602604056646,7.7482266755947995,136231.88888888888,566379.3288714978,2405409.0,12.0,2451845.0,272427.22222222225,814063.072568517,2443258.0,20.0,2452130.0,306516.25,848176.0393698182,2405409.0,138.0,0,0,0,0,332,296,4.078014039786736,3.670212635808063,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,48022,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54019-21-6,192.168.56.1,54019,192.168.56.101,21,6,14/01/2014 07:37:29 PM,2062522,9,9,24.0,137.0,10.0,0.0,2.6666666666666665,4.123105625617661,69.0,0.0,15.222222222222221,23.39753073391388,78.05977342302289,8.727179637356596,121324.82352941175,487816.6876626449,2014015.0,0.0,2062046.0,257755.75,724815.1423924289,2051572.0,0.0,2062403.0,257800.375,709728.016105151,2014015.0,243.0,0,0,0,0,300,296,4.363589818678298,4.363589818678298,0.0,69.0,8.473684210526315,17.16057633405589,294.48538011695905,1,2,0,7,17,0,0,0,1.0,8.944444444444445,2.6666666666666665,15.222222222222221,0,0,0,119,4,45681,9,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54019-21-6,192.168.56.1,54019,192.168.56.101,21,6,14/01/2014 07:37:31 PM,404166,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89692354131718,134722.0,232922.7458879875,403678.0,154.0,488.0,488.0,0.0,488.0,488.0,404012.0,404012.0,0.0,404012.0,404012.0,0,0,0,0,64,64,4.94846177065859,4.94846177065859,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16453,114,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54020-21-6,192.168.56.1,54020,192.168.56.101,21,6,14/01/2014 07:37:31 PM,1669074,9,9,24.0,137.0,10.0,0.0,2.6666666666666665,4.123105625617661,69.0,0.0,15.222222222222221,23.39753073391388,96.460672205067,10.784422979448484,98180.82352941176,392673.74623538234,1621591.0,8.0,1668609.0,208576.12499999997,586031.9274791965,1658922.0,8.0,1669023.0,208627.875,571060.7781084595,1621591.0,204.0,0,0,0,0,300,296,5.392211489724242,5.392211489724242,0.0,69.0,8.473684210526315,17.16057633405589,294.48538011695905,1,2,0,7,17,0,0,0,1.0,8.944444444444445,2.6666666666666665,15.222222222222221,0,0,0,119,4,38863,9,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54020-21-6,192.168.56.1,54020,192.168.56.101,21,6,14/01/2014 07:37:33 PM,404364,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.892077435182163,134788.0,233281.26698044143,404158.0,60.0,206.0,206.0,0.0,206.0,206.0,404304.0,404304.0,0.0,404304.0,404304.0,0,0,0,0,64,64,4.946038717591081,4.946038717591081,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16453,114,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54021-21-6,192.168.56.1,54021,192.168.56.101,21,6,14/01/2014 07:37:33 PM,1945264,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,82.7651156860971,9.767311789042514,108070.22222222222,446394.4949793065,1896377.0,11.0,1944855.0,216095.0,644873.6231154131,1935753.0,17.0,1945214.0,243151.75000000003,668139.1763805653,1896377.0,202.0,0,0,0,0,332,296,5.140690415285534,4.626621373756981,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,31332,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54022-21-6,192.168.56.1,54022,192.168.56.101,21,6,14/01/2014 07:37:35 PM,1885730,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,85.37807639481792,10.075673611810812,104762.77777777781,432220.9337831965,1836285.0,17.0,1885374.0,209486.0,624369.2987603571,1874460.0,17.0,1885678.0,235709.75000000003,646859.5673104568,1836285.0,205.0,0,0,0,0,332,296,5.302986111479374,4.772687500331437,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,35671,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54023-21-6,192.168.56.1,54023,192.168.56.101,21,6,14/01/2014 07:37:37 PM,1825174,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,88.21076785007895,10.409966392245341,101398.55555555556,418579.3868516282,1778274.0,9.0,1824876.0,202763.99999999997,604615.934195833,1815065.0,12.0,1825134.0,228141.75000000003,626471.1402356969,1778274.0,313.0,0,0,0,0,332,296,5.478929680129127,4.931036712116215,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,36324,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.1-192.168.56.101-54024-21-6,192.168.56.1,54024,192.168.56.101,21,6,14/01/2014 07:37:39 PM,2098339,10,9,24.0,137.0,10.0,0.0,2.4,3.977715704047013,69.0,0.0,15.222222222222221,23.39753073391388,76.72735435027418,9.054780948169004,116574.38888888889,482400.70090405364,2049170.0,20.0,2097766.0,233085.11111111107,696059.2722319781,2089239.0,20.0,2098292.0,262286.5,722137.5072742626,2049170.0,220.0,0,0,0,0,332,296,4.765674183246844,4.28910676492216,0.0,69.0,8.049999999999999,16.81000641848401,282.57631578947365,2,2,0,7,18,0,0,0,0.0,8.473684210526315,2.4,15.222222222222221,0,0,0,119,4,37539,10,24,9,137,65535,114,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
